Crop,Temperature (°C),Humidity (%),Rainfall (mm),Soil Type,Soil pH,Soil Moisture (%),Wind Speed (km/h),Solar Radiation (W/m²),Weather Condition,Precipitation (mm),Evapotranspiration (ET),Growth Stage,Kc,Water Requirement (mm/day)
Wheat,23.5,66.7,27.9,Clay Loam,6,29.2,12.2,215,Partly Cloudy,13.6,1.68,Vegetative,0.75,3.21
Wheat,18.5,65.2,41.5,Loamy,6.6,25.8,8.3,290,Overcast,0.1,1.32,Flowering,1.15,1.46
Wheat,24,66.4,33.9,Loamy,7.2,24.4,5.1,255,Sunny,0.5,1.03,Fruiting,0.25,1.18
Wheat,18.3,51.3,21.4,Loamy,7.1,22,5.5,270,Sunny,12.8,1.21,Germination,0.35,2.61
Wheat,19.6,68.3,36.5,Loamy,7,29.8,13.7,212.1,Overcast,5.7,1.77,Vegetative,0.75,2.52
Wheat,18.5,69.9,22.5,Clay Loam,7,27.4,5.2,234.7,Overcast,0.1,0.9,Flowering,1.15,1
Wheat,20.7,63.6,39.9,Loamy,6.4,27.9,7.4,298.8,Sunny,5.9,1.3,Fruiting,0.25,2.02
Wheat,23.3,60.8,49.2,Clay Loam,6,26,5.5,251.5,Partly Cloudy,4.7,1.14,Germination,0.35,1.72
Wheat,21.1,53.5,47.4,Clay Loam,7.4,24.1,11.6,218.1,Overcast,14.2,1.77,Vegetative,0.75,3.37
Wheat,21.5,54.2,29.8,Loamy,6.1,29.2,14.9,239.8,Sunny,10.2,2.13,Flowering,1.15,3.36
Wheat,18.5,55.8,40.1,Clay Loam,6.5,23.9,13.3,216.8,Sunny,5.5,1.87,Fruiting,0.25,2.61
Wheat,22.5,52.7,42.2,Clay Loam,6.4,26.5,8.5,280,Partly Cloudy,9,1.58,Germination,0.35,2.64
Wheat,18.1,59.8,33,Clay Loam,6.9,24.1,6.5,209.5,Sunny,0.6,1.13,Vegetative,0.75,1.3
Wheat,23.9,69.7,38,Clay Loam,6.2,29.4,9.1,225.4,Sunny,9,1.35,Flowering,1.15,2.39
Wheat,19,69.4,24.3,Clay Loam,7.1,24.2,14.5,295.5,Sunny,7.9,1.9,Fruiting,0.25,2.88
Wheat,23,68.9,26.5,Loamy,6.6,27.2,14.9,224.1,Overcast,0.9,1.93,Germination,0.35,2.21
Wheat,23.2,64.2,35.2,Clay Loam,7,28.8,12.2,218.6,Overcast,11.5,1.72,Vegetative,0.75,3.04
Wheat,22.3,51.1,41.4,Clay Loam,6.1,24.1,7.8,201.7,Partly Cloudy,12.6,1.42,Flowering,1.15,2.82
Wheat,23.5,64.6,49.6,Loamy,7.4,23.2,13.7,255.5,Partly Cloudy,8.8,1.91,Fruiting,0.25,2.98
Wheat,22.1,64.5,32.4,Clay Loam,7.1,29.5,12.5,263.9,Overcast,14.3,1.78,Germination,0.35,3.39
Wheat,23.7,54.9,23.2,Clay Loam,7.3,27.5,9.4,221.9,Partly Cloudy,3.1,1.58,Vegetative,0.75,2.05
Wheat,22.2,65.8,33.5,Clay Loam,6,26,10.3,267,Overcast,7,1.54,Flowering,1.15,2.39
Wheat,18,64.7,31.9,Loamy,7.5,27.4,12,284.3,Overcast,11.8,1.69,Fruiting,0.25,3.04
Wheat,23.7,51.7,45.8,Loamy,6.5,26.7,10.4,283.3,Partly Cloudy,1.7,1.82,Germination,0.35,2.17
Wheat,21.6,58.1,22.7,Loamy,6.1,24.4,6.6,203.6,Sunny,6.8,1.2,Vegetative,0.75,2
Wheat,23.2,52.4,26.7,Loamy,7.1,28,6.1,250.5,Sunny,4.1,1.32,Flowering,1.15,1.86
Wheat,22.5,68.5,30.6,Loamy,6.2,29.1,6.8,243,Overcast,13.3,1.14,Fruiting,0.25,2.58
Wheat,19.4,62.4,31.3,Loamy,7.2,23.2,10.5,297.8,Partly Cloudy,13.7,1.61,Germination,0.35,3.14
Wheat,21.4,60,30.3,Loamy,6.5,23,10.3,214.8,Partly Cloudy,9.6,1.56,Vegetative,0.75,2.68
Wheat,23.2,63.5,24.2,Clay Loam,7,28.9,11.9,261.5,Overcast,7.6,1.75,Flowering,1.15,2.69
Wheat,23.1,68.9,30.2,Loamy,7.4,24.9,6,260.2,Partly Cloudy,5.5,1.07,Fruiting,0.25,1.73
Wheat,23.9,66.4,41.3,Clay Loam,6.7,28.4,7.7,296.4,Partly Cloudy,2.6,1.32,Germination,0.35,1.71
Wheat,20,53.8,23.4,Clay Loam,6.5,28.9,11.2,218.3,Sunny,7.9,1.71,Vegetative,0.75,2.67
Wheat,23.9,57.5,44,Clay Loam,6.2,23.7,8.9,296,Sunny,9,1.59,Flowering,1.15,2.65
Wheat,22.9,51.3,22.4,Clay Loam,6.9,22.1,7,291.8,Sunny,14.4,1.48,Fruiting,0.25,3.07
Wheat,21.2,53.1,20.6,Clay Loam,7,25.2,11.7,245.3,Partly Cloudy,7.9,1.83,Germination,0.35,2.8
Wheat,23.8,51.2,34.4,Clay Loam,7.1,24.8,11.4,227.5,Partly Cloudy,6.9,1.84,Vegetative,0.75,2.71
Wheat,21.8,55.2,21.4,Loamy,7.1,23.4,14.9,218.9,Overcast,13.6,2.09,Flowering,1.15,3.66
Wheat,22.7,58.3,34.9,Clay Loam,6.4,27.3,10.4,231.9,Sunny,12.5,1.63,Fruiting,0.25,3.04
Wheat,20.8,56.7,22,Loamy,6.7,28.8,12.2,240.3,Overcast,9.3,1.82,Germination,0.35,2.93
Wheat,18.2,67.5,34.8,Loamy,7.3,23.4,10.4,207.2,Overcast,13.7,1.43,Vegetative,0.75,2.94
Wheat,18.4,52,21.9,Clay Loam,7.4,29.1,9.9,272.5,Sunny,14.1,1.65,Flowering,1.15,3.22
Wheat,20.1,50.2,42.5,Loamy,6.5,22.7,8.6,227.5,Sunny,13.3,1.51,Fruiting,0.25,2.99
Wheat,21.9,56.4,44.3,Loamy,7.3,22.9,7.7,252.6,Sunny,10.7,1.4,Germination,0.35,2.61
Wheat,21.5,67.4,25.6,Clay Loam,6.9,29.4,8.5,216.5,Partly Cloudy,8.5,1.28,Vegetative,0.75,2.26
Wheat,23.6,64.2,44.5,Clay Loam,6.7,23.3,11.5,244.4,Overcast,10.5,1.68,Flowering,1.15,2.9
Wheat,23.2,58.3,43.5,Loamy,6.7,25.6,5.8,217.6,Overcast,10,1.16,Fruiting,0.25,2.28
Wheat,19.8,53.4,45.2,Loamy,7.3,25,5.8,263.3,Partly Cloudy,3.4,1.23,Germination,0.35,1.69
Wheat,18.9,67.4,32.9,Clay Loam,6.4,28.8,10.2,261.7,Sunny,7.3,1.47,Vegetative,0.75,2.35
Wheat,23,66.1,29.6,Loamy,6.2,23.2,5.1,299.4,Partly Cloudy,0.2,1.06,Flowering,1.15,1.19
Wheat,19.6,54.5,36.2,Clay Loam,6.1,28.8,14.3,296.9,Sunny,8,2.1,Fruiting,0.25,3.11
Wheat,21.6,69.8,43.4,Clay Loam,6.8,24.9,6,267.6,Partly Cloudy,8.7,1.05,Germination,0.35,2.03
Wheat,23.8,61.3,22.5,Clay Loam,7.3,24.7,8.3,266,Partly Cloudy,3.3,1.43,Vegetative,0.75,1.9
Wheat,22.7,51.4,36.4,Loamy,6.2,29.2,15,232.9,Sunny,8.1,2.19,Flowering,1.15,3.22
Wheat,23.2,65.7,31.6,Loamy,7.5,26.5,6.9,208.2,Overcast,1.9,1.16,Fruiting,0.25,1.47
Wheat,19.4,53.8,44.4,Clay Loam,6.9,29.3,10.5,299,Sunny,13.2,1.73,Germination,0.35,3.22
Wheat,18,57.2,29.5,Clay Loam,7.4,28.4,11.2,287,Overcast,6.4,1.72,Vegetative,0.75,2.53
Wheat,18.6,58.8,37.6,Clay Loam,7.3,29.1,11.9,282.6,Sunny,10.8,1.77,Flowering,1.15,3.03
Wheat,21.9,62.2,26.4,Loamy,6.6,28.1,8.4,231.1,Partly Cloudy,9,1.36,Fruiting,0.25,2.4
Wheat,21.5,62,41.4,Loamy,7,24.8,6.7,253.8,Partly Cloudy,1.2,1.22,Germination,0.35,1.46
Wheat,20.6,56.1,45.9,Clay Loam,6.8,29.4,11.7,268.9,Overcast,10.4,1.81,Vegetative,0.75,3.03
Wheat,19.1,69.3,44.1,Clay Loam,6.6,23.6,13.1,230.3,Overcast,5.3,1.71,Flowering,1.15,2.41
Wheat,22.9,67.7,35.3,Loamy,7.4,29.7,14.4,251.8,Partly Cloudy,10.2,1.92,Fruiting,0.25,3.13
Wheat,19.7,55,37.9,Clay Loam,7.5,24.1,11.2,203.6,Overcast,8.5,1.67,Germination,0.35,2.69
Wheat,20,60.5,20.5,Clay Loam,6,28.9,10.4,275,Sunny,10.5,1.61,Vegetative,0.75,2.82
Wheat,18.7,55.7,25.8,Clay Loam,6.6,24.4,10.9,276.6,Sunny,0.7,1.71,Flowering,1.15,1.95
Wheat,23.3,50.8,42.2,Loamy,7.3,27.8,9.7,279.2,Sunny,0.1,1.75,Fruiting,0.25,1.94
Wheat,21.7,63.6,34,Loamy,7.5,22.5,6,225.1,Sunny,3.8,1.1,Germination,0.35,1.59
Wheat,19.7,60.3,46.7,Clay Loam,6.9,28.2,12.6,239.6,Sunny,0.3,1.79,Vegetative,0.75,2
Wheat,19.9,53.5,35.1,Loamy,7,23.6,14.3,289.4,Overcast,9.2,2.12,Flowering,1.15,3.25
Wheat,22.3,63.5,39.5,Loamy,6.4,28.7,12.4,242.7,Partly Cloudy,9.5,1.76,Fruiting,0.25,2.89
Wheat,19.3,62.5,29.4,Loamy,6.5,23.3,11.3,204.2,Partly Cloudy,2.5,1.59,Germination,0.35,2
Wheat,23.9,54.7,30.2,Loamy,6.1,26.7,14,274.3,Overcast,7.3,2.12,Vegetative,0.75,3.06
Wheat,21.4,63.2,40.8,Clay Loam,6.7,27.1,11.8,203.9,Overcast,0.3,1.65,Flowering,1.15,1.84
Wheat,19.9,64.4,39.4,Loamy,6.5,27.9,8.3,296.1,Overcast,9.8,1.36,Fruiting,0.25,2.48
Wheat,23.5,62.6,32.4,Clay Loam,7.2,27.7,7.8,251.9,Sunny,4.1,1.34,Germination,0.35,1.88
Wheat,23.9,63.3,36.7,Loamy,7.4,24.1,11.2,236.1,Overcast,9.5,1.66,Vegetative,0.75,2.78
Wheat,20,58.8,31.7,Loamy,7.4,27.1,7,238,Sunny,14.4,1.25,Flowering,1.15,2.82
Wheat,18.5,64.1,31.1,Loamy,6.4,22.4,12,259.9,Partly Cloudy,9.4,1.68,Fruiting,0.25,2.79
Wheat,21.4,65.5,26.2,Clay Loam,7.3,22.9,8.1,259,Partly Cloudy,2.2,1.31,Germination,0.35,1.66
Wheat,23.4,64.5,45.6,Loamy,6.1,26.8,5.6,234.3,Sunny,9,1.07,Vegetative,0.75,2.08
Wheat,22.1,65.6,31,Clay Loam,6.4,24.8,5.8,267.3,Partly Cloudy,6.5,1.1,Flowering,1.15,1.86
Wheat,19.5,52.5,42.5,Clay Loam,6.6,28,6.5,252.5,Overcast,8.7,1.3,Fruiting,0.25,2.3
Wheat,19,63.3,46.9,Clay Loam,6.8,26.1,6.7,208.2,Sunny,10.7,1.12,Germination,0.35,2.3
Wheat,18.1,69.8,45.8,Clay Loam,6.1,24.8,8.1,248.7,Overcast,6.1,1.2,Vegetative,0.75,1.93
Wheat,18.8,67.1,37.3,Clay Loam,7.3,22,13.7,203.6,Overcast,8.6,1.77,Flowering,1.15,2.81
Wheat,22.3,63.7,21,Loamy,6.2,23.3,11.5,267.9,Overcast,13.1,1.7,Fruiting,0.25,3.18
Wheat,23.7,61.6,40.8,Loamy,6.4,25.2,14,219.5,Sunny,10.3,1.94,Germination,0.35,3.16
Wheat,19.9,67.6,21.9,Loamy,7,27,7.2,214.1,Sunny,13,1.13,Vegetative,0.75,2.54
Wheat,22.1,69.5,38.8,Clay Loam,6.4,26.8,6.5,294.4,Overcast,2.2,1.13,Flowering,1.15,1.46
Wheat,18.9,66.3,25.4,Loamy,7.2,28.4,8.4,224.2,Partly Cloudy,2.6,1.27,Fruiting,0.25,1.66
Wheat,19.6,61.5,40.3,Clay Loam,7.1,22.9,10,244.3,Overcast,5.5,1.52,Germination,0.35,2.22
Wheat,21.3,64.8,22,Loamy,7.4,23.3,14.7,212,Overcast,5.8,1.93,Vegetative,0.75,2.7
Wheat,23.1,51.8,27.4,Clay Loam,6.4,27.2,11.5,209.4,Overcast,14,1.81,Flowering,1.15,3.39
Wheat,21,63.8,36.1,Loamy,6.9,30,5,226,Partly Cloudy,5.2,0.99,Fruiting,0.25,1.61
Wheat,19.8,59.8,27.9,Clay Loam,6.3,28.7,12.4,296.4,Overcast,5.4,1.84,Germination,0.35,2.56
Wheat,23.1,62.2,42.3,Loamy,6.5,26.8,12.2,273.6,Partly Cloudy,11.5,1.81,Vegetative,0.75,3.14
Wheat,18.9,63,25.2,Clay Loam,7.2,26.4,8.3,258.3,Sunny,3.6,1.33,Flowering,1.15,1.82
Wheat,21.7,65.3,46.6,Loamy,7.4,27.6,7.9,288.5,Overcast,12.5,1.33,Fruiting,0.25,2.71
Wheat,20,55.3,49.3,Clay Loam,6.1,29.2,7.1,258.9,Partly Cloudy,6.8,1.34,Germination,0.35,2.15
Wheat,22.9,67.3,23.2,Loamy,7,25.6,5.2,227.9,Partly Cloudy,5.8,0.98,Vegetative,0.75,1.66
Wheat,23.7,55.6,37,Clay Loam,6.8,26.7,8.4,294.5,Sunny,4.8,1.57,Flowering,1.15,2.21
Wheat,23.8,53.8,41.1,Clay Loam,6.6,29.9,7.8,275,Partly Cloudy,3.7,1.51,Fruiting,0.25,2.03
Wheat,22.4,66.3,21,Loamy,7.4,29.5,12.5,212.3,Partly Cloudy,6.4,1.7,Germination,0.35,2.51
Wheat,18.3,59.1,43.9,Loamy,6.7,24.4,13.4,254.9,Overcast,3.3,1.88,Vegetative,0.75,2.4
Wheat,22.6,69,38.6,Loamy,7.2,22.3,14.3,201.8,Partly Cloudy,8.9,1.84,Flowering,1.15,2.91
Wheat,23.4,61.6,21.7,Clay Loam,7.3,27.5,14.1,203.5,Overcast,6.9,1.93,Fruiting,0.25,2.81
Wheat,21.8,59.7,49.9,Clay Loam,6.9,22.6,6,226.7,Sunny,10.3,1.15,Germination,0.35,2.3
Wheat,20.8,50.8,41.5,Clay Loam,7.1,26.1,8.7,207.4,Overcast,0.1,1.5,Vegetative,0.75,1.66
Wheat,22.2,51.1,29.8,Clay Loam,7.1,23.8,13.4,229.8,Partly Cloudy,5.4,2.02,Flowering,1.15,2.76
Wheat,21.1,54,49.9,Clay Loam,7.4,25.6,8.5,220.1,Partly Cloudy,6.2,1.46,Fruiting,0.25,2.23
Wheat,22.5,69.1,26.7,Clay Loam,7.1,23.3,6.3,208.8,Partly Cloudy,5.3,1.04,Germination,0.35,1.67
Wheat,20.5,66.3,39.7,Loamy,6.7,27.6,8.2,239,Partly Cloudy,12.2,1.28,Vegetative,0.75,2.63
Wheat,23.8,52.1,24.2,Clay Loam,7,27.8,7.2,267.6,Overcast,0.4,1.47,Flowering,1.15,1.66
Wheat,19.7,62.2,26.4,Loamy,6.7,25.5,6.8,210.1,Overcast,3.6,1.15,Fruiting,0.25,1.62
Wheat,22.6,61.2,47.5,Clay Loam,6.3,26.5,11.8,213.4,Sunny,13,1.71,Germination,0.35,3.18
Wheat,18.1,52.5,44.9,Loamy,6.7,29.2,9.2,262.3,Sunny,7,1.56,Vegetative,0.75,2.42
Wheat,22.2,52.1,47.6,Loamy,6.2,23.4,10.6,211,Sunny,11,1.7,Flowering,1.15,2.97
Wheat,21.4,59.1,37.1,Loamy,6.9,22.8,5.7,222.2,Sunny,10.6,1.12,Fruiting,0.25,2.29
Wheat,22,56.6,47.1,Clay Loam,6.5,23.9,14.8,201.6,Overcast,6.9,2.04,Germination,0.35,2.93
Wheat,23,62.7,26.3,Loamy,6.3,27.4,11.2,247.6,Partly Cloudy,8.3,1.67,Vegetative,0.75,2.67
Wheat,21,69.5,32,Loamy,6.9,25.3,10.2,243.4,Sunny,14.5,1.44,Flowering,1.15,3.03
Wheat,20.6,68.8,36.2,Clay Loam,6.5,29.5,5.6,293.3,Sunny,7.3,1.03,Fruiting,0.25,1.86
Wheat,21.3,53.9,32.9,Loamy,6.2,29.7,9.3,220.4,Overcast,3.4,1.55,Germination,0.35,2.05
Wheat,23.7,65.1,31.2,Loamy,6.7,27,13.5,202.7,Partly Cloudy,6.6,1.82,Vegetative,0.75,2.66
Wheat,21.5,68.5,23.5,Clay Loam,6.3,29.8,8.6,239.8,Sunny,6.3,1.3,Flowering,1.15,2.06
Wheat,20.6,51.1,40.1,Loamy,7.1,25.7,15,200.8,Overcast,5.6,2.11,Fruiting,0.25,2.88
Wheat,19.5,51.9,39.4,Clay Loam,6.2,29.8,7.7,232.6,Partly Cloudy,8.1,1.4,Germination,0.35,2.35
Wheat,20.5,56.3,39.9,Clay Loam,7.4,30,12.3,277.2,Partly Cloudy,6.8,1.87,Vegetative,0.75,2.74
Wheat,22.9,50.2,43.6,Clay Loam,6.2,29,10.2,240.4,Sunny,11.4,1.74,Flowering,1.15,3.05
Wheat,20.3,52,39,Loamy,7.1,24.2,7.2,288.8,Partly Cloudy,6.8,1.43,Fruiting,0.25,2.25
Wheat,18.8,51.4,33.4,Clay Loam,6.1,26.1,5.4,232.2,Overcast,7.9,1.16,Germination,0.35,2.07
Wheat,21.6,64.1,42.8,Loamy,7.1,29.6,6.7,265.8,Sunny,4.8,1.2,Vegetative,0.75,1.8
Wheat,18,52,32.2,Clay Loam,6.5,28.5,7.4,255,Overcast,10.9,1.37,Flowering,1.15,2.6
Wheat,20.2,51.4,40.2,Clay Loam,6.6,29.2,11.4,282.1,Overcast,8.6,1.85,Fruiting,0.25,2.9
Wheat,22.8,56.2,37.4,Clay Loam,7.1,24.9,13.6,264,Overcast,12.4,2.02,Germination,0.35,3.46
Wheat,21.7,58.8,33.5,Clay Loam,7.1,22.3,12.4,248.8,Sunny,6.6,1.83,Vegetative,0.75,2.67
Wheat,22.3,51.5,33.7,Loamy,7,27.9,7.4,226,Partly Cloudy,8.5,1.41,Flowering,1.15,2.4
Wheat,23.3,53.4,37.5,Loamy,7.2,27.5,7.4,225.5,Partly Cloudy,10.2,1.4,Fruiting,0.25,2.56
Wheat,18.5,52.1,49.5,Clay Loam,6,27.5,14.3,248.9,Partly Cloudy,14.7,2.06,Germination,0.35,3.74
Wheat,20.5,58,33.3,Clay Loam,6.7,24,5.2,283.7,Partly Cloudy,2.3,1.14,Vegetative,0.75,1.48
Wheat,21.6,53.7,39.5,Clay Loam,7,29,12.3,276.5,Sunny,11.5,1.93,Flowering,1.15,3.27
Wheat,23.6,50.2,34,Clay Loam,7.4,23.6,7.7,212.2,Partly Cloudy,13.7,1.46,Fruiting,0.25,2.98
Wheat,20.4,53.9,36,Clay Loam,6.2,29.5,12.5,270.4,Sunny,7.6,1.92,Germination,0.35,2.87
Wheat,22,52.8,39.5,Loamy,7.5,27.4,6.3,248.9,Overcast,4.2,1.31,Vegetative,0.75,1.86
Wheat,23.5,60,36.5,Loamy,7.2,24.3,12,291.7,Partly Cloudy,8.6,1.85,Flowering,1.15,2.9
Wheat,20.4,65.3,30.1,Loamy,7.4,23.4,6,228.4,Sunny,5.4,1.06,Fruiting,0.25,1.71
Wheat,23.9,66.8,47.2,Loamy,6.2,23.9,13.5,268.3,Overcast,13.6,1.87,Germination,0.35,3.42
Wheat,19.7,64.3,32.3,Loamy,6.6,22.8,7.7,273.6,Partly Cloudy,4.3,1.28,Vegetative,0.75,1.84
Wheat,22.7,59.7,43.6,Loamy,6.9,28.1,9.1,280.7,Sunny,5.4,1.54,Flowering,1.15,2.23
Wheat,21.9,56.4,41.2,Loamy,7.4,24.7,7.8,257.1,Overcast,2.8,1.42,Fruiting,0.25,1.84
Wheat,21.8,51.8,30.7,Clay Loam,6.9,22,5.6,214.8,Sunny,11.3,1.2,Germination,0.35,2.45
Wheat,22.1,65.4,28.3,Loamy,6.1,23.4,11.2,274.3,Partly Cloudy,14.7,1.65,Vegetative,0.75,3.28
Wheat,21.3,62.8,40.1,Loamy,6.2,25.5,10,262.9,Partly Cloudy,8.7,1.54,Flowering,1.15,2.56
Wheat,23.5,60.9,37.8,Loamy,6.8,25.8,7.8,235.9,Sunny,12.9,1.35,Fruiting,0.25,2.78
Wheat,19.8,55.3,27.3,Clay Loam,7.1,27.1,13.4,236,Sunny,3.1,1.93,Germination,0.35,2.43
Wheat,23.5,51.2,44.8,Clay Loam,6.8,23,8,206.5,Overcast,14,1.47,Vegetative,0.75,3.02
Wheat,19,64.5,22.8,Loamy,6.8,27.8,12.9,255.2,Overcast,9.9,1.77,Flowering,1.15,2.94
Wheat,23.9,50.7,26.8,Clay Loam,6.1,24.7,14.1,251.4,Overcast,1,2.16,Fruiting,0.25,2.48
Wheat,20.1,58.7,29.4,Loamy,6.4,25.8,13.1,292.4,Partly Cloudy,1.8,1.93,Germination,0.35,2.3
Wheat,20.2,57.2,49.2,Clay Loam,6.9,22.2,9.7,266.8,Sunny,8.4,1.58,Vegetative,0.75,2.58
Wheat,18.7,51.3,23.9,Loamy,7.4,24.6,7.6,218.7,Sunny,13,1.36,Flowering,1.15,2.8
Wheat,21.4,63.8,45.1,Clay Loam,6,29.7,10,289.3,Partly Cloudy,12.9,1.56,Fruiting,0.25,3.01
Wheat,20.7,56.5,38.2,Loamy,6.3,23.2,10.5,291.7,Overcast,1.3,1.71,Germination,0.35,2.01
Wheat,18.9,60.4,34,Clay Loam,6.6,25.9,14.7,271.1,Partly Cloudy,4.8,2.02,Vegetative,0.75,2.7
Wheat,23.8,58.3,42.2,Clay Loam,7.2,22.3,9.4,266.3,Overcast,2.2,1.59,Flowering,1.15,1.97
Wheat,19.5,65.5,40.3,Clay Loam,7.4,28,12.1,260.4,Partly Cloudy,0.9,1.69,Fruiting,0.25,1.95
